2023-03-20 17:11:12.280249 [INFO   ] [APP] application started
2023-03-20 17:11:12.280648 [INFO   ] [APP] loading configuration from 'autotrader.json'
2023-03-20 17:11:12.281168 [INFO   ] [CON] connecting to: 127.0.0.1:12345
2023-03-20 17:11:12.281361 [INFO   ] [CON] connected successfully to: 127.0.0.1:12345
2023-03-20 17:11:12.281419 [INFO   ] [BASE] logging in with teamname='CPPMarketMaker' and secret='secret'
2023-03-20 17:11:12.282195 [DEBUG  ] [CON] 'Exec' sent 103 bytes
2023-03-20 17:11:16.815871 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:16.815900 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:16.816036 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-20 17:11:16.816069 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:16.816077 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:16.816152 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-20 17:11:16.816301 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:16.816317 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:16.816405 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:16.816420 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:17.069713 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:17.069742 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:17.069769 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:17.069775 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:17.312764 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:17.312795 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:17.312868 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-20 17:11:17.312891 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:17.312900 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:17.312926 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-20 17:11:17.313630 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:17.313646 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:17.313818 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:17.313831 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:17.581865 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:17.581892 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:17.581920 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:17.581928 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:17.827239 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:17.827265 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-20 17:11:17.840355 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:17.840379 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:17.840508 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-20 17:11:17.840538 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:17.840546 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:17.840591 [DEBUG  ] [CON] 'Exec' sent 41 bytes
2023-03-20 17:11:17.841024 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:17.841042 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:17.841118 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:17.841163 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:17.841237 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:17.841251 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:17.841399 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:17.841413 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:18.091314 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:18.091343 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:18.091411 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-20 17:11:18.091443 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:18.091451 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:18.091545 [DEBUG  ] [CON] 'Exec' sent 17 bytes
2023-03-20 17:11:18.091928 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:18.091943 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:18.092139 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:18.092155 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:18.269301 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:18.269326 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-20 17:11:18.274557 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:18.274580 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:18.274652 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-20 17:11:18.274689 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:18.274702 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:18.274730 [DEBUG  ] [CON] 'Exec' sent 41 bytes
2023-03-20 17:11:18.274894 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:18.274907 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:18.275017 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:18.275029 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:18.275146 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:18.275158 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:18.275243 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:18.275254 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:18.570698 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:18.570732 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:18.570811 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:18.570834 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:18.621140 [DEBUG  ] [CON] 'Exec' received 34 bytes
2023-03-20 17:11:18.621185 [DEBUG  ] [CON] 'Exec' received message with type=8 and size=15
2023-03-20 17:11:18.621203 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:18.621448 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:18.621481 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-20 17:11:18.843198 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:18.843226 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:18.843292 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-20 17:11:18.843315 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:18.843322 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:18.843370 [DEBUG  ] [CON] 'Exec' sent 34 bytes
2023-03-20 17:11:18.843908 [DEBUG  ] [CON] 'Exec' received 57 bytes
2023-03-20 17:11:18.843925 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:18.843935 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:18.843939 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:19.094263 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:19.094293 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:19.094356 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-20 17:11:19.094389 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:19.094399 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:19.094431 [DEBUG  ] [CON] 'Exec' sent 41 bytes
2023-03-20 17:11:19.094688 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:19.094704 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:19.094859 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:19.094874 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:19.095041 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:19.095055 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:19.095105 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:19.095116 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:19.214200 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:19.214225 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-20 17:11:19.336874 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:19.336900 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:19.336971 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-20 17:11:19.336996 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:19.337003 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:19.337052 [DEBUG  ] [CON] 'Exec' sent 41 bytes
2023-03-20 17:11:19.337465 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:19.337482 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:19.337521 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:19.337533 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:19.337615 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:19.337629 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:19.337677 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:19.337690 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:19.523533 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:19.523561 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:19.523620 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-20 17:11:19.523640 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:19.523650 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:19.523674 [DEBUG  ] [CON] 'Exec' sent 41 bytes
2023-03-20 17:11:19.523887 [DEBUG  ] [CON] 'Exec' received 15 bytes
2023-03-20 17:11:19.523900 [DEBUG  ] [CON] 'Exec' received message with type=8 and size=15
2023-03-20 17:11:19.524018 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:19.524043 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:19.524105 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:19.524116 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:19.524175 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:19.524190 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:19.524239 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:19.524251 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:19.524337 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:19.524349 [DEBUG  ] [CON] 'Info' received message with type=11 and size=88
2023-03-20 17:11:19.837157 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:19.837196 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:19.837318 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:19.837342 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:20.026451 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:20.026480 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:20.026543 [DEBUG  ] [CON] 'Exec' sent 7 bytes
2023-03-20 17:11:20.026571 [DEBUG  ] [CON] 'Info' received 88 bytes
2023-03-20 17:11:20.026578 [DEBUG  ] [CON] 'Info' received message with type=10 and size=88
2023-03-20 17:11:20.026624 [DEBUG  ] [CON] 'Exec' sent 41 bytes
2023-03-20 17:11:20.026974 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:20.026992 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:20.027154 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:20.027170 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:20.027400 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:20.027415 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
2023-03-20 17:11:20.027481 [DEBUG  ] [CON] 'Exec' received 19 bytes
2023-03-20 17:11:20.027495 [DEBUG  ] [CON] 'Exec' received message with type=9 and size=19
